fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
2018-01-01,41.0,1009.0,63.0,1,381.0,13.0,33.0,35.0,12.0
2018-01-02,37.0,1001.0,39.0,0,230.0,76.0,60.0,72.0,18.0
2018-01-03,30.0,939.0,97.0,1,502.0,82.0,75.0,41.0,17.0
2018-01-04,29.0,1082.0,35.0,1,741.0,88.0,121.0,49.0,14.0
2018-01-05,36.0,993.0,67.0,0,259.0,52.0,155.0,52.0,14.0
2018-01-06,41.0,965.0,37.0,1,113.0,78.0,453.0,19.0,11.0
2018-01-07,20.0,929.0,82.0,1,218.0,77.0,259.0,47.0,21.0
2018-01-08,25.0,1029.0,83.0,1,550.0,98.0,318.0,50.0,25.0
2018-01-09,38.0,977.0,78.0,1,508.0,43.0,484.0,48.0,3.0
2018-01-10,36.0,1002.0,47.0,0,728.0,61.0,233.0,56.0,17.0
2018-01-11,38.0,974.0,54.0,0,843.0,58.0,344.0,51.0,12.0
2018-01-12,44.0,1042.0,28.0,0,343.0,48.0,395.0,27.0,27.0
2018-01-13,25.0,1033.0,33.0,1,733.0,74.0,439.0,54.0,20.0
2018-01-14,35.0,1088.0,83.0,0,954.0,6.0,346.0,52.0,18.0
2018-01-15,41.0,1109.0,55.0,0,284.0,88.0,215.0,43.0,20.0
2018-01-16,33.0,968.0,96.0,0,940.0,95.0,295.0,60.0,27.0
2018-01-17,31.0,1001.0,82.0,0,997.0,62.0,29.0,40.0,19.0
2018-01-18,35.0,1018.0,47.0,1,469.0,43.0,360.0,48.0,24.0
2018-01-19,34.0,1046.0,63.0,0,973.0,28.0,360.0,36.0,25.0
2018-01-20,28.0,1063.0,26.0,0,660.0,98.0,64.0,62.0,24.0
2018-01-21,37.0,973.0,91.0,0,274.0,92.0,216.0,51.0,18.0
2018-01-22,43.0,925.0,72.0,1,483.0,35.0,167.0,48.0,16.0
2018-01-23,26.0,992.0,29.0,1,216.0,82.0,62.0,52.0,18.0
2018-01-24,29.0,967.0,60.0,1,171.0,40.0,328.0,67.0,17.0
2018-01-25,35.0,1016.0,70.0,0,315.0,77.0,265.0,38.0,15.0
2018-01-26,27.0,989.0,45.0,1,870.0,21.0,25.0,67.0,7.0
2018-01-27,32.0,973.0,52.0,1,425.0,5.0,438.0,55.0,15.0
2018-01-28,23.0,971.0,58.0,1,406.0,58.0,77.0,56.0,10.0
2018-01-29,30.0,998.0,44.0,1,497.0,44.0,185.0,38.0,11.0
2018-01-30,32.0,1097.0,29.0,0,611.0,13.0,110.0,73.0,10.0
2018-01-31,35.0,1025.0,86.0,0,708.0,96.0,272.0,51.0,30.0
2018-02-01,35.0,1036.0,45.0,0,682.0,42.0,45.0,74.0,17.0
2018-02-02,24.0,1041.0,60.0,0,408.0,47.0,182.0,53.0,17.0
2018-02-03,32.0,1023.0,61.0,0,788.0,26.0,226.0,36.0,22.0
2018-02-04,27.0,967.0,91.0,1,175.0,10.0,237.0,54.0,9.0
2018-02-05,33.0,977.0,72.0,0,822.0,66.0,354.0,55.0,23.0
2018-02-06,38.0,900.0,91.0,0,550.0,47.0,276.0,58.0,16.0
2018-02-07,32.0,1025.0,26.0,1,138.0,86.0,44.0,43.0,19.0
2018-02-08,30.0,967.0,55.0,1,459.0,3.0,95.0,48.0,8.0
2018-02-09,35.0,1004.0,41.0,1,838.0,28.0,472.0,34.0,22.0
2018-02-10,39.0,891.0,83.0,0,345.0,89.0,498.0,64.0,17.0
2018-02-11,31.0,943.0,47.0,0,262.0,84.0,81.0,52.0,10.0
2018-02-12,33.0,1025.0,39.0,0,611.0,91.0,30.0,52.0,18.0
2018-02-13,32.0,976.0,93.0,1,370.0,55.0,209.0,66.0,19.0
2018-02-14,36.0,956.0,98.0,1,861.0,74.0,223.0,46.0,18.0
2018-02-15,30.0,970.0,59.0,1,990.0,69.0,269.0,45.0,23.0
2018-02-16,38.0,972.0,73.0,1,501.0,26.0,246.0,49.0,14.0
2018-02-17,29.0,996.0,34.0,0,299.0,11.0,130.0,51.0,18.0
2018-02-18,25.0,1030.0,38.0,1,937.0,17.0,89.0,47.0,19.0
2018-02-19,30.0,1007.0,89.0,1,272.0,10.0,499.0,56.0,22.0
2018-02-20,28.0,1030.0,36.0,0,607.0,84.0,468.0,49.0,21.0
2018-02-21,36.0,972.0,47.0,1,861.0,83.0,410.0,45.0,30.0
2018-02-22,44.0,1014.0,39.0,0,472.0,43.0,17.0,44.0,10.0
2018-02-23,37.0,975.0,26.0,0,181.0,49.0,36.0,37.0,16.0
2018-02-24,33.0,988.0,78.0,1,788.0,69.0,118.0,52.0,9.0
2018-02-25,38.0,1035.0,59.0,1,707.0,22.0,271.0,51.0,9.0
2018-02-26,40.0,980.0,37.0,1,287.0,12.0,350.0,56.0,19.0
